当日耗电煤,日期,20万千瓦数量,20万千瓦开机数量,合计存煤,60万千瓦数量,30万千瓦开机数量,总数,100万千瓦开机数量,开机数量,_id,60万千瓦开机数量,当日进电煤,电厂数量,100万千瓦数量,30万千瓦数量
16.8,2018年1月26日,2,2,230.5,13,30,50,13,47,5a6e85901d41c81f34844215,11,14.9,18,4,31
16.0,2018年1月25日,2,2,232.0,13,31,50,13,48,5a6e85901d41c81f34844216,11,13.9,18,4,31
15.0,2018年1月24日,2,2,234.1,13,31,50,13,48,5a6e85901d41c81f34844217,11,12.9,18,4,31
15.3,2018年1月23日,2,2,236.3,13,30,50,13,46,5a6e85901d41c81f34844218,10,11.7,18,4,31
15.5,2018年1月22日,2,2,239.8,13,30,50,13,46,5a6e85901d41c81f34844219,10,14.3,17,4,31
15.5,2018年1月19日,2,2,245.9,13,26,50,4,42,5a6e85901d41c81f3484421a,10,11.3,17,4,31
15.8,2018年1月18日,2,2,250.1,12,27,49,4,43,5a6e85901d41c81f3484421b,10,13.9,17,4,31
16.0,2018年1月17日,2,2,251.9,12,27,49,4,43,5a6e85901d41c81f3484421c,10,13.3,17,4,31
14.7,2018年1月16日,2,2,254.7,12,27,49,4,43,5a6e85901d41c81f3484421d,10,15.7,17,4,31
15.7,2018年1月15日,2,2,253.8,12,25,49,4,41,5a6e85901d41c81f3484421e,10,10.9,17,4,31
16.4,2018年1月12日,2,2,275.5,12,27,49,4,43,5a6e85901d41c81f3484421f,10,11.9,17,4,31
16.6,2018年1月11日,2,2,280.0,12,27,49,4,43,5a6e85901d41c81f34844220,10,7.8,17,4,31
17.2,2018年1月10日,2,2,288.8,12,29,49,4,45,5a6e85901d41c81f34844221,10,10.1,17,4,31
17.7,2018年1月9日,2,2,295.9,12,31,49,4,47,5a6e85901d41c81f34844222,10,12.4,17,4,31
17.3,2018年1月8日,2,1,308.0,12,31,49,4,46,5a6e85901d41c81f34844223,10,7.6,17,4,31
16.4,2018年1月5日,2,2,324.3,12,31,49,4,47,5a6e85901d41c81f34844224,10,13.0,17,4,31
15.4,2018年1月4日,2,2,327.2,12,31,49,4,47,5a6e85901d41c81f34844225,10,11.0,17,4,31
14.5,2018年1月3日,2,1,331.7,12,27,49,4,41,5a6e85901d41c81f34844226,9,10.1,17,4,31
13.4,2018年1月2日,2,1,324.5,12,25,49,4,39,5a6e85901d41c81f34844227,9,9.9,17,4,31
15.6,2017年12月29日,2,1,343.1,12,26,49,4,42,5a6e85901d41c81f34844228,11,9.8,17,4,31
15.6,2017年12月28日,2,1,348.9,12,27,49,4,43,5a6e85901d41c81f34844229,11,9.2,17,4,31
15.5,2017年12月27日,2,1,355.3,12,27,49,4,43,5a6e85901d41c81f3484422a,11,8.6,17,4,31
15.1,2017年12月26日,2,1,362.1,12,27,49,4,43,5a6e85901d41c81f3484422b,11,14.7,17,4,31
15.4,2017年12月25日,2,1,362.5,12,28,49,4,44,5a6e85901d41c81f3484422c,11,12.6,17,4,31
16.5,2017年12月22日,2,1,375.5,12,30,49,4,45,5a6e85901d41c81f3484422d,10,13.5,17,4,31
16.4,2017年12月21日,2,1,378.5,12,30,49,4,46,5a6e85901d41c81f3484422e,11,13.9,17,4,31
16.4,2017年12月20日,2,1,381.1,12,30,49,4,46,5a6e85901d41c81f3484422f,11,16.1,17,4,31
16.6,2017年12月19日,2,1,381.3,12,30,49,4,46,5a6e85901d41c81f34844230,11,14.3,17,4,31
16.3,2017年12月18日,2,1,383.6,12,30,49,4,46,5a6e85901d41c81f34844231,11,13.5,17,4,31
16.4,2017年12月15日,2,1,385.7,12,29,49,4,45,5a6e85901d41c81f34844232,11,15.5,17,4,31
15.6,2017年12月14日,2,1,386.7,12,29,49,4,45,5a6e85901d41c81f34844233,11,16.0,17,4,31
14.8,2017年12月13日,2,1,386.3,12,27,49,4,43,5a6e85901d41c81f34844234,11,15.3,17,4,31
14.0,2017年12月12日,2,1,385.8,12,25,49,4,41,5a6e85901d41c81f34844235,11,12.1,17,4,31
14.2,2017年12月11日,2,1,387.6,12,22,49,4,40,5a6e85901d41c81f34844236,11,15.1,17,4,31
14.4,2017年12月8日,2,1,389.1,12,24,49,4,40,5a6e85901d41c81f34844237,11,11.2,17,4,31
13.6,2017年12月7日,2,1,392.2,12,22,49,3,37,5a6e85901d41c81f34844238,11,9.0,17,4,31
12.8,2017年12月6日,2,1,396.8,12,22,49,3,37,5a6e85901d41c81f34844239,11,8.2,17,4,31
13.2,2017年12月5日,2,1,401.4,12,22,49,3,37,5a6e85901d41c81f3484423a,11,9.9,17,4,31
12.1,2017年12月4日,2,1,404.7,12,22,49,3,37,5a6e85901d41c81f3484423b,11,10.0,17,4,31
10.8,2017年12月1日,2,1,412.8,12,21,49,4,37,5a6e85901d41c81f3484423c,11,14.1,17,4,31
10.6,2017年11月30日,2,1,409.4,12,18,49,4,33,5a6e85901d41c81f3484423d,10,11.5,17,4,31
10.6,2017年11月29日,2,1,408.6,12,18,49,4,33,5a6e85901d41c81f3484423e,10,11.0,17,4,31
10.6,2017年11月28日,2,1,408.2,12,18,49,4,33,5a6e85901d41c81f3484423f,10,11.0,17,4,31
10.4,2017年11月27日,2,1,407.9,12,18,49,4,33,5a6e85901d41c81f34844240,10,8.6,17,4,31
10.6,2017年11月24日,2,1,412.4,12,18,49,4,33,5a6e85901d41c81f34844241,10,11.6,17,4,31
11.2,2017年11月23日,2,1,411.4,12,18,49,4,33,5a6e85901d41c81f34844242,10,8.9,17,4,31
12.0,2017年11月22日,2,1,413.7,12,18,49,4,33,5a6e85901d41c81f34844243,10,14.4,17,4,31
11.6,2017年11月21日,2,1,411.2,12,18,49,4,33,5a6e85901d41c81f34844244,10,11.4,17,4,31
10.2,2017年11月20日,2,1,413.4,12,20,49,4,36,5a6e85901d41c81f34844245,11,12.9,17,4,31
10.9,2017年11月17日,2,1,411.1,12,20,49,4,34,5a6e85901d41c81f34844246,9,12.7,17,4,31
10.1,2017年11月16日,2,1,409.2,12,20,49,4,34,5a6e85901d41c81f34844247,9,7.6,17,4,31
10.3,2017年11月15日,2,1,411.7,12,19,49,3,31,5a6e85901d41c81f34844248,8,12.0,17,4,31
9.8,2017年11月14日,2,1,410.1,12,18,49,3,30,5a6e85901d41c81f34844249,8,14.1,17,4,31
9.0,2017年11月13日,2,1,405.9,12,18,49,2,29,5a6e85901d41c81f3484424a,8,5.0,17,4,31
8.6,2017年11月10日,2,2,411.9,12,16,49,2,27,5a6e85901d41c81f3484424b,7,11.4,17,4,31
8.4,2017年11月9日,2,1,409.1,12,15,49,2,25,5a6e85901d41c81f3484424c,7,12.9,17,4,31
7.1,2017年11月8日,2,1,404.6,12,15,49,2,24,5a6e85901d41c81f3484424d,6,9.6,17,4,31
